name,type,date,time,place,price,send_date,views
Концерт у стінах «Травня»,концерт,2022/05/29,18:00-,"Травень, вул. Пекарська 1ц",50 грн,2022-05-27 21:03:54+00:00,371
Фотовиставка ФОТОCOM.UNITY,виставка,2022/05/28,15:00-,"Порохова вежа, вул. Підвальна 4",100 грн,2022-05-26 20:49:53+00:00,470
Sonic Weapons of Love 2.0,вечірка,2022/05/28-2022/05/29,14:00-,"Ганок, вул. Заводська 31",200-300 грн,2022-05-25 21:05:06+00:00,405
Постаті «Культури»,виставка,2022/05/21-2022/06/24,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-05-24 18:33:45+00:00,364
Виставка фотографій «Весна та попіл»,гра,2022/05/21-2022/05/29,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-05-23 18:00:06+00:00,372
Мистецька Лабораторія «Місце Проживання»,виставка,2022/05/09-2022/07/02,-,"Світло, вул. Валова 19",0 грн,2022-05-22 22:03:44+00:00,561
Sunday Bazaarr,фестиваль,2022/05/22,12:00-,"Стрийський парк, фонтан русалок",донат,2022-05-21 18:25:33+00:00,460
Jam Session для Марека,концерт,2022/05/21,16:00-21:00,"Дзиґа, вул. Вірменська 35",0 грн,2022-05-20 17:06:48+00:00,531
Благодійний вечір Fusion,концерт,2022/05/21,18:00-,"Порохова вежа, вул. Підвальна 4",350 грн,2022-05-19 19:57:32+00:00,1244
Манірна музика 90-х: касетна культура андеграунду,гра,2022/05/21,-,"Нижній Зал в Театрі Ляльок, пл. Данила Галицького 1",донат,2022-05-18 20:50:49+00:00,421
Кінофестиваль «Нова українська хвиля»,кіно,2022/05/19-2022/05/29,-,Планета Кіно,130 грн,2022-05-17 18:02:49+00:00,399
Розмова про культуру з Павло Гудімов,лекція,2022/05/17,-,"ДК Nazva, вул. Заводська 31",200 грн,2022-05-16 18:00:04+00:00,397
Виставка Apokalipsys,виставка,2022/05/13-2022/06/13,-,"Diogenes gallery, пл. С.Яворського 1",0 грн,2022-05-15 18:51:31+00:00,445
Вечірка Sonic Weapons of Love,вечірка,2022/05/15,10:00-,"Ганок, вул. Заводська 31",250 грн,2022-05-14 20:34:10+00:00,374
Відкриття Sneaker Mate,виставка,2022/05/14,18:00-,"Sneaker Mate, вул. Д.Дудаєва 19",0 грн,2022-05-13 20:00:20+00:00,383
Прослуховування вінілів з DJBuro,концерт,2022/05/14,19:00-,"Мистецький Центр, вул. Стефаника 11",донат,2022-05-12 19:40:53+00:00,501
"Розмова ХША: Архітектура, війна, освіта",лекція,2022/05/13,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-05-11 18:52:48+00:00,561
Благодійна хіп-хоп подія,концерт,2022/05/14,17:30-,"Дзиґа, вул. Вірменська 35",донат,2022-05-09 17:50:24+00:00,450
Благодійна подія для збору коштів ЗСУ,виставка,2022/05/14,14:00-,вул. Заводська 31,200 грн,2022-05-08 18:41:39+00:00,1454
"Цикл розмов «Звідки й куди», Міша Букша",лекція,2022/05/10,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-05-07 19:45:49+00:00,532
Вечірка Dvir locals,вечірка,2022/05/07,-,secret place,200+ грн,2022-05-06 20:56:53+00:00,1136
Лекція кіно та війна,кіно,2022/05/08,18:00-,"ДК Nazva, вул. Заводська 31",донат,2022-05-05 21:19:45+00:00,764
«Кафе-Бар Надія» 1 Цикл Неспланованих розмов,лекція,2022/05/09,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-05-04 21:43:54+00:00,401
Вечір акустичної музики від Illusion of Change,концерт,2022/05/08,-,"Порохова вежа, вул. Підвальна 4",донат,2022-05-03 19:00:01+00:00,403
Кінопоказ «Сіль з Бонневілю»,кіно,2022/05/06,18:30-,"Мистецький Центр, вул. Стефаника 11",донат,2022-05-02 19:53:48+00:00,390
Виставка Час війни. Рефлексії,виставка,2022/04/30-2022/05/15,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-04-30 18:56:33+00:00,383
Graffiti Jam в Urban Camp,фестиваль,2022/04/30-2022/05/01,-,"Urban Camp, вул. Чернівецька 4",0 грн,2022-04-29 21:29:53+00:00,504
Благодійний вечір у Дзизі,концерт,2022/04/30,17:30-,"Дзиґа, вул. Вірменська 35",донат,2022-04-28 20:09:46+00:00,397
Благодійний концерт на підтримку Чернігова,концерт,2022/04/30,17:00-,"Soma.майстерня, вул. Зелена 20",100 грн,2022-04-27 21:42:40+00:00,435
Кінопоказ «Ваш Васииль»,кіно,2022/04/29,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-04-26 21:01:54+00:00,452
Літературний вечір,вечірка,2022/04/27,18:00-,"ДК Nazva, вул. Заводська 31",донат,2022-04-25 18:47:01+00:00,401
"Легкий освітник із засновницею медіа ""Свідомі""",квест,2022/04/26,18:00-,"ДК Nazva, вул. Заводська 31",200 грн,2022-04-24 17:04:58+00:00,392
Фотовиставка «Патерни війни в тилу. Березень»,виставка,2022/04/23,-,"Дзиґа, вул. Вірменська 35",донат,2022-04-23 21:02:09+00:00,384
Великодня вечірка в Клуб 151,вечірка,2022/04/24,17:00-,"Клуб151, вул. Заводська 31",200 грн,2022-04-22 22:18:38+00:00,509
Джазова імпровізація «Повидло»,концерт,2022/04/22,18:00-,"ДК Nazva, вул. Заводська 31",донат,2022-04-21 20:36:41+00:00,452
Вечірка Dvir locals,вечірка,2022/05/07,-,secret place,150-200 грн,2022-04-20 22:12:31+00:00,512
Битва за історію. Як і для кого працює проєкт «Локальна історія»,презентація,2022/04/20,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-04-19 19:52:11+00:00,486
Легкий Освітник з Ярославом Грицаком,лекція,2022/04/19,18:00-,"ДК Nazva, вул. Заводська 31",200 грн,2022-04-18 18:44:35+00:00,369
Виставковий проєкт «Укриття» 2.0,виставка,2022/04/15-2022/05/05,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-04-17 20:34:46+00:00,394
Благодійний концерт,концерт,2022/04/17,17:00-,"Soma.майстерня, вул. Зелена 20",100 грн,2022-04-16 21:49:41+00:00,364
"36,6 пісень і віршів від Дарії Лісіч",вечірка,2022/04/16,18:00-,"ДК Nazva, вул. Заводська 31",100-150 грн,2022-04-15 21:09:49+00:00,363
Благодійна джем-сесія,концерт,2022/04/16,-,"Порохова вежа, вул. Підвальна 4",200-300 грн,2022-04-14 18:00:08+00:00,486
Благодійний панк-концерт,концерт,2022/04/16,17:00-,"Soma.майстерня, вул. Зелена 20",100 грн,2022-04-13 18:56:01+00:00,484
Начитка від «Ціна Ритму»,вечірка,2022/04/16,17:00-,"Дзиґа, вул. Вірменська 35",донат,2022-04-12 21:16:41+00:00,2060
Джазові імпровізації в ДК Nazva,концерт,2022/04/13,18:00-,"ДК Nazva, вул. Заводська 31",донат,2022-04-11 19:56:58+00:00,420
Лекція «між дизайном і народним мистецтвом»,лекція,2022/04/12,16:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-04-10 22:50:27+00:00,400
Арт-екскурсія «Мистецтво як шлях подолання жахів війни»,екскурсія,2022/04/10,-13:00,"Порохова вежа, вул. Підвальна 4",0 грн,2022-04-09 20:27:00+00:00,394
Благодійний концерт,концерт,2022/04/09,-,"Дзиґа, вул. Вірменська 35",донат,2022-04-08 15:46:41+00:00,379
Лекція «Секс&Зевс». The Mysteztvo,лекція,2022/04/08,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-04-07 22:39:08+00:00,413
Відкриття оновленого ДК Nazva,вечірка,2022/04/08,17:00-,"ДК Nazva, вул. Заводська 31, третій поверх",донат,2022-04-06 21:41:46+00:00,646
Виставка Nudes & Naїves,виставка,2022/04/02-2022/05/02,-,"Vініл клуб, проїзд Крива Липа 5",0 грн,2022-04-05 21:55:50+00:00,428
Хіп хоп Акція «Бронік»,концерт,2022/04/05,17:00-,"Дикий Дім, вул. Староєврейська 22",100 грн,2022-04-04 22:10:14+00:00,421
Відкриття Кава Без Назви,вечірка,2022/04/03,-,"Порохова вежа, вул. Підвальна 4",0 грн,2022-04-02 17:42:22+00:00,458
Подвійна Експозиція,виставка,2022/04/01-2022/04/22,-,"Світло, вул. Валова 19",0 грн,2022-04-01 21:19:10+00:00,409
Презетація ініціативи «Музейний Кризовий Центр»,дебати,2022/04/01,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-31 21:49:18+00:00,357
Виставка “Амазонки” Євген Равський,виставка,2022/03/30,-,"Дзиґа, вул. Вірменська 35",0 грн,2022-03-30 21:20:38+00:00,370
Розмова “Культурний фронт”,дебати,2022/03/30,17:00-,"Я Галарея, вул. Шота Руставелі 8",0 грн,2022-03-29 20:55:24+00:00,389
Свято-закриття магазину Ясна Річ,вечірка,2022/03/29,13:00-,"Ясна Річ, вул. І.Франка 13",0 грн,2022-03-28 20:15:18+00:00,464
Презентація «Гарелеї Неотодрешь»,презентація,2022/03/28,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-27 21:20:53+00:00,378
Виставковий проєкт «Укриття»,виставка,2022/03/25-2022/04/08,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-26 17:36:44+00:00,362
Як читати мистецтво. Симуляція матінок,лекція,2022/03/26,13:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-25 21:58:29+00:00,359
Східка 2.0. Зустріч з творчими зі сходу,вечірка,2022/03/26,17:00-,"ДК Nazva, вул. Заводська 31",0 грн,2022-03-24 22:28:19+00:00,466
Покази українського кіно. Пригоди Полтинника,кіно,2022/03/24,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-23 21:05:45+00:00,369
Цикл розмов «Звідки й куди»,дискусія,2022/03/23,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-03-22 20:44:19+00:00,365
Екскурсії «Львів зустрічає» vol.2,екскурсія,"2022/03/22, 2022/03/23",13:00,"площа Петрушевича, 8",0 грн,2022-03-21 21:58:19+00:00,387
Прогулянка Львовом від Центру і трохи далі #1,екскурсія,2022/03/19,11:00-,"Альтернативна кава, вул. Котляревського 22",0 грн,2022-03-17 19:21:53+00:00,729
Львів зустрічає,екскурсія,2022/03/18,14:00-15:00,різні галереї Львова,0 грн,2022-03-16 21:23:00+00:00,741
FREE SKY: концерт заради життя,концерт,2022/03/16,15:30-,проспект Свободи,0 грн,2022-03-16 13:08:51+00:00,649
Найкраще українське кіно,кіно,-,18:30-,Муніципальний мистецький центр,0 грн,2022-03-15 00:09:34+00:00,493
JR's art project,виставка,-,-,Львів,0 грн,2022-03-14 14:32:35+00:00,477
Art Project Lviv / Support Ukraine,фестиваль,2022/03/14,-,Львів,0 грн,2022-03-14 14:32:35+00:00,478
Вечірка у Дикому Домі,вечірка,2022/02/25,22:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2022-02-24 12:59:59+00:00,596
Артист-ток з фотографом Володимиром Демківим,гра,2022/02/26,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-22 19:56:00+00:00,465
Фотоcom.unity,виставка,2022/02/26,-,"Порохова вежа, вул. Підвальна 4",100 грн,2022-02-21 22:56:56+00:00,426
Satisfaction happy bitrhday,вечірка,2022/02/25,18:00-,secret place,180-250 грн,2022-02-20 20:27:49+00:00,349
Бесіда про архів Майдану,презентація,2022/02/20,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-19 16:30:00+00:00,378
Презентація субкультурного фотобуку Reload today,презентація,2022/02/19,21:00-,"People Place, площа Катедральна 6",0 грн,2022-02-18 21:21:31+00:00,372
Вечірка у Дикому Домі,вечірка,2022/02/19,20:00-,"Дикий Дім, вул. Староєврейська 22",100 грн,2022-02-18 00:09:46+00:00,351
"Виставка ""Барикада""",виставка,2022/02/17-2022/03/03,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-16 22:18:11+00:00,370
Панк Diy фізкультурна утопія. Розмова з самоорганізованою майстернею Soma,розмова,2022/02/23,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-15 20:28:37+00:00,369
Прощальна вечірка Neutral,вечірка,2022/02/26,22:00-,"Порохова вежа, вул. Підвальна 4",300 грн,2022-02-14 19:00:04+00:00,321
Артист-ток з фотографом Михайлом Куликом,гра,2022/02/16,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-13 17:30:00+00:00,323
Вечірка Dvir on da beat,вечірка,2022/02/26,21:00-,"Collab Promo, вул. Заводська 31",200-250 грн,2022-02-12 19:35:33+00:00,322
Фестиваль Dna Vibe Day,фестиваль,2022/02/19,-,"DNA Dance studio, вул. Промислова 50а",100 грн,2022-02-11 19:41:45+00:00,330
Довга Розмова про «Коротку історію фотографії»,гра,2022/02/17,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-10 16:30:01+00:00,346
Вечірка Local Wave,вечірка,2022/02/12,-,"Lviv Film Center, вул. В. Великого 14А",200-250 грн,2022-02-09 18:01:42+00:00,333
Виставка містера Журавчіка «Я просто тут самоізолююсь»,виставка,2022/02/10-2022/02/28,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-08 17:30:01+00:00,367
Залаштунки,виставка,2022/02/08-2022/02/27,-,"Світло, вул. Валова 19",0 грн,2022-02-07 17:30:01+00:00,363
Цінні Папери та зін Семена Кучвари Галицька Динаміка,презентація,2022/02/08,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-06 16:30:00+00:00,407
Концерт Обрій / Selma / Vidmershiy Shmat / exile esthetics,концерт,2022/02/18,19:00-,"Contrast place, вул. Горбачевського 24",150-200 грн,2022-02-05 19:00:03+00:00,341
Виставка “Металіс” Чередниченко Вероніка,виставка,2022/02/17,19:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-02-04 19:54:21+00:00,367
Вечірка Ghettoo Джем,вечірка,2022/02/12,-,"Дикий Дім, вул. Староєврейська 22",200-250 грн,2022-02-03 16:30:00+00:00,400
виставка Давида Чичкана “Стрічки і трикутники”,виставка,2022/02/05,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-02-02 20:07:57+00:00,349
Вечір відкритих дверей Closer Connections,вечірка,2022/02/04,22:00-,"People Place, площа Катедральна 6",0 грн,2022-02-01 20:07:56+00:00,383
Only Lovers Left Alive,вечірка,2022/02/11,23:00-,secret place,300 грн,2022-01-31 16:30:00+00:00,372
Виставка Давид Чичкан «Стрічки та трикутники,виставка,2022/02/04-2022/02/28,-,Мистецький Центр,0 грн,2022-01-31 13:55:20+00:00,350
Вечірка Satisfaction Power Rangers,вечірка,2022/02/04,-,secret place,0 грн,2022-01-30 18:58:48+00:00,360
Вечір відкритих дверей Closer Connections,вечірка,2022/02/04,-,People Place,0 грн,2022-01-29 20:54:23+00:00,345
Satisfaction Power Rangers,вечірка,2022/02/04,21:00-,secret place,200-250 грн,2022-01-28 22:38:21+00:00,347
Перформанс Ярини Шумської,виставка,2022/01/30,18:00-,"NoName, вул. Валова 19",0 грн,2022-01-27 20:36:00+00:00,427
Виставка Давид Чичкан «Стрічки та трикутники»,виставка,2022/02/04,- - -,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-25 17:39:58+00:00,485
Виставка “Impri’ mere” Вікторія Мащенко,виставка,2022/01/26-2022/02/13,00:00-,Дзиґа,0 грн,2022-01-23 19:00:02+00:00,382
Вечірка Темний Двір,вечірка,2022/01/29,21:00-,"Contrast place, вул. Горбачевського 24",150-200 грн,2022-01-22 17:30:00+00:00,347
Виставка “Impri’ mere” Вікторія Мащенко,виставка,2022/01/26,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2022-01-21 16:30:00+00:00,364
Інструментально-вокальний Jam,вечірка,2022/01/27,20:00-,"Порохова вежа, вул. Підвальна 4",150-200 грн,2022-01-20 15:19:09+00:00,369
Just Jam,вечірка,2022/01/22,-21:00,"ЦТДЮГ «Погулянка», вул. А.Вахнянина 29",100 грн,2022-01-19 19:49:38+00:00,354
Вечірка Promise Love w/Thom,вечірка,2022/01/22,-,вул. Промислова 21,300 грн,2022-01-18 20:13:39+00:00,348
Виставка «Драма» Євгена Лисика,виставка,2022/01/20-2022/03/27,-,"Я Галарея, вул. Шота Руставелі 8",20-50 грн,2022-01-17 17:30:00+00:00,356
Перегляд фільму «Погані Дороги» Наталки Ворожбит,кіно,2022/01/16,-,Мистецький Центр,0 грн,2022-01-17 13:00:21+00:00,312
Артист-ток з Сергієм Сівяковим,арттерапія,2022/01/17,-,Мистецький Центр,0 грн,2022-01-16 16:30:00+00:00,362
Виставка «Драма» Євгена Лисика,виставка,2022/01/20-2022/03/27,-,Я Галарея,0 грн,2022-01-15 17:30:00+00:00,361
Перегляд фільму «Погані Дороги» Наталки Ворожбит,кіно,2022/01/16,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-14 17:09:08+00:00,376
Вечірка Культурний рейв,вечірка,-,18:00-02:00,"Дикий Дім, вул. Староєврейська 22",200 грн,2022-01-13 22:08:05+00:00,369
Вечірка Atomic Simao / Junket,вечірка,2022/01/14,19:00-,вул. Промислова 21,300-500 грн,2022-01-12 21:43:21+00:00,371
Презентація книги Андрія Васини “Mauvais Ton”,презентація,2022/01/12,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-11 14:32:25+00:00,427
Артист-ток з Сергієм Сівяковим,-,2022/01/17,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-10 19:00:03+00:00,369
Прослуховування нового альбому Zbaraski,концерт,2022/01/13,17:00-19:00,"Старі Мури, вул. Сербська 5",400 грн,2022-01-07 21:04:28+00:00,366
Виставка Вероніки Чередниченко ‘Комаха’,виставка,2022/01/11-2022/02/06,18:00-,"Зелена канапа, вул. Вірменська 7",0 грн,2022-01-06 19:56:50+00:00,401
Zombo&Тулим: презентація альбому «Золоті Часи»,презентація,2022/01/15,20:00-,"Дзиґа, вул. Вірменська 35",200-250 грн,2022-01-05 19:33:27+00:00,370
Вечірка NA Dzvin,вечірка,2022/01/14,-,"Клуб151, вул. Заводська 31",330 грн,2022-01-04 19:00:11+00:00,368
Нові ремісники. Зустріч з Krava Cut,Майстер-клас,2022/01/13,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-03 20:51:45+00:00,374
Виставка Олександра Грехова «Монументальна окупація»,виставка,2022/01/10-2022/02/10,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2022-01-02 21:48:00+00:00,563
Rosé - Welcome Event | Inrush - Nightfall,вечірка,2022/01/08,18:00-,Citadel Inn / Split Night Club,300-500 грн,2022-01-01 22:03:19+00:00,354
Вечірка Ходи до нас на Drum & Bass 2022,вечірка,2022/01/01,02:00-08:00,"Contrast place, вул. Горбачевського 24",300 грн,2021-12-31 17:05:42+00:00,443
Drum&Bass Парад 2022,фестиваль,2022/01/07,-,"!FESTrepublic, вул. Старознесенська 24",250-350 грн,2021-12-30 17:30:00+00:00,479
Презентація книги Ukraїner,презентація,2022/01/03,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-29 22:05:31+00:00,400
Виставка Lumen,виставка,2021/12/26-2022/01/23,-,"NoName, вул. Валова 19",0 грн,2021-12-28 19:44:25+00:00,408
Котельня Happy New Year 2022,вечірка,2022/01/01,22:00-,"Котельня Ruїn bar, вул. Заводська 31",250-350 грн,2021-12-26 21:43:41+00:00,422
Вечірка Night Ambassadors 2022,вечірка,2022/01/01,-,secret place,800 грн,2021-12-25 19:40:11+00:00,415
Вечірка Solid New Year,вечірка,2021/12/31,23:00-,вул. Промислова 21,350-500 грн,2021-12-24 17:30:00+00:00,401
Презентація книжки Анрі Картьє-Брессона від IST Publishing,презентація,2021/12/28,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-22 23:28:48+00:00,395
Лекція «Екологічність кіно»,кіно,2021/12/25,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-22 22:28:57+00:00,394
Відкриття галареї NoName,виставка,2021/12/26,-,"NoName, вул. Валова 19",0 грн,2021-12-21 19:46:42+00:00,388
"Концерт Levyy MC - ""Reload 2.0""",концерт,2021/12/26,-,"!FESTrepublic, вул. Старознесенська 24",200-250 грн,2021-12-20 19:00:16+00:00,374
Вечірка Нісенітниця,вечірка,2021/12/22,-,"Drabyna studio, площа Є. Петрушевича 3",150-300 грн,2021-12-19 17:30:00+00:00,384
Лекція Олі Климук про перетворення заправок на простори культури на перефирії,лекція,2021/12/17,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-18 16:30:00+00:00,357
"Проект 00.000000, 00.000000",виставка,2021/12/17-2021/12/26,-,"Дзиґа, вул. Вірменська 35",0 грн,2021-12-17 16:30:00+00:00,377
Renaissance,вечірка,2021/12/18,22:00-,"Late Breakfast Club, вул. Героїв УПА 77",200-250 грн,2021-12-16 21:34:40+00:00,352
Вечірка Тиск,вечірка,2021/12/18,21:00-,"Drabyna studio, площа Є. Петрушевича 3",250-300 грн,2021-12-16 16:28:37+00:00,336
Різдвяний Art Sale,виставка,2021/12/18,-,"Майстерня Maxymova, вул. Замарстинівська 50",0 грн,2021-12-15 19:00:16+00:00,340
Вечірка Авантаж,вечірка,2021/12/17,-,"Trace, вул. Джерельна 20",250-300 грн,2021-12-15 19:00:02+00:00,308
Dopamine Jam,концерт,2021/12/17,19:00-,"Dopamine Space, вул. Жовківська 14",150 грн,2021-12-15 16:30:00+00:00,299
Артист-ток Soonyaontherun4: Оновлена вбиральня Золотого Колосу,лекція,2021/12/17,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-15 13:00:17+00:00,322
Розмова з Коцьою і Джеральдом Естрадою з Крінж TV,лекція,2021/12/16,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-13 16:30:00+00:00,377
Фестиваль молодого мистецтва «ЩоЯкНай»,фестиваль,2021/12/16-2021/12/19,-,"!FESTrepublic, вул. Старознесенська 24",0 грн,2021-12-12 20:48:11+00:00,441
Skofka. Перший сольник,концерт,2021/12/16,20:00-,"Malevich Night Club, просп. Чорновола, 2к",290-550 грн,2021-12-11 19:31:35+00:00,350
Дні українського кіно 2021,кіно,2021/12/10-2021/12/12,-,"Палац Гната Хоткевича, Lviv Film Center",0 грн,2021-12-10 15:17:24+00:00,357
Презентація книги «ILLUSTRATION in Ukraine»,презентація,-,-,"Я Галарея, вул. Шота Руставелі 8",0 грн,2021-12-09 16:33:13+00:00,359
Графіті виставка та виставка художників на Авангарді,гра,-,-,"Дзиґа, вул. Вірменська 35",0 грн,2021-12-09 16:30:00+00:00,367
Артист-ток з фотографом Костею Смоляніновим,гра,2021/12/09,19:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-12-08 20:37:16+00:00,367
Що там на на Dopamine Space?,вечірка,2021/12/10-2021/12/18,-,"Dopamine Space, вул. Жовківська 14",200-300 грн,2021-12-08 00:14:33+00:00,407
Вечір пам‘яті Міська Барбари,концерт,2021/12/12,20:00-,"Нижній Зал в Театрі Ляльок, пл. Данила Галицького 1",150 грн,2021-12-06 17:30:05+00:00,456
Present Perfect Market,фестиваль,2021/12/11-2021/12/12,-,"Палац Мистецтв, вул. М.Коперника 17",50 грн,2021-12-05 17:30:06+00:00,387
Авангард Локалс,фестиваль,-,13:00-,"Дзиґа, вул. Вірменська 35",200 грн,2021-12-03 00:07:18+00:00,391
"""Соляріс Лема у художньому оформленні підземного переходу біля ЛАЗу""",-,-,-,підземний перехід біля ЛАЗу,0 грн,2021-12-02 12:55:04+00:00,442
"""Neutral 1112""",вечірка,2021/12/11,-,secret place,250-300 грн,2021-12-01 19:00:02+00:00,387
"""Satisfaction""",вечірка,2021/12/03,21:00-,secret place,150-200 грн,2021-11-30 17:30:00+00:00,385
Вечірка Авангард Локалс,вечірка,2021/12/04,22:00-,"Дзиґа, вул. Вірменська 35",150-200 грн,2021-11-29 19:00:11+00:00,386
Вечірка Medidance,вечірка,2021/12/03,23:00-,"Dopamine Space, вул. Жовківська 14",250 грн,2021-11-29 16:30:01+00:00,456
Показ фільму «Trainspotting»,кіно,2021/12/02 - 2021/12/08,-,Планета Кіно,0 грн,2021-11-29 13:00:21+00:00,358
Вечірка Turbo 3 years,вечірка,2021/12/03,-,Trace,0 грн,2021-11-28 17:03:40+00:00,362
Вечірка Dvir на Контрасті,вечірка,2021/12/03,-,Contrast place,0 грн,2021-11-26 23:15:40+00:00,394
Вечірка Turbo 3 years,вечірка,2021/12/03,00:00-,"Trace, вул. Джерельна 20",200-250 грн,2021-11-25 21:04:42+00:00,378
Roots Party,вечірка,2021/11/26,-,"Dopamine Space, вул. Жовківська 14",150-200 грн,2021-11-24 19:42:57+00:00,396
Графіті виставка та виставка художників на Авангарді,гра,2021/12/04,-,"Дзиґа, вул. Вірменська 35",150-200 грн,2021-11-23 15:03:39+00:00,452
Roots Party,вечірка,2021/11/26,23:00-,Dopamine space,0 грн,2021-11-22 21:33:38+00:00,379
Вечірка Земляни х KyivTranceMission,вечірка,2021/11/27,23:00-,Trace,0 грн,2021-11-22 19:00:06+00:00,401
Акустичний концерт із Олею Чернишовою,концерт,2021/11/27,19:00-21:00,Sova Space,150 грн,2021-11-21 19:49:36+00:00,434
Вечірка Dvir на Контрасті,вечірка,2021/12/03,-21:00,"Contrast place, вул. Горбачевського 24",150-200 грн,2021-11-20 17:30:00+00:00,394
Вечір реп-поезії на Авангарді,концерт,2021/12/04,-,"Дзиґа, вул. Вірменська 35",150-200 грн,2021-11-19 22:25:05+00:00,387
Акустичний концерт із Олею Чернишовою,концерт,2021/11/27,13:00-,"Sova Space, площа Міцкевича 8",300-450 грн,2021-11-18 22:02:27+00:00,374
Показ фільму «Splash» на Авангарді,кіно,2021/12/04,0:00-0:00,"Дзиґа, вул. Вірменська 35",150-200 грн,2021-11-17 18:16:28+00:00,377
Вечірка Solid,вечірка,2021/12/04,0:00-0:00,secret place,300 грн,2021-11-16 18:18:07+00:00,380
Фестиваль Гармидер,фестиваль,2021/12/04-2021/12/05,0:00-0:00,"СТРЦ Spartak, вул. Гетьмана Мазепи 1б",0 грн,2021-11-15 16:30:00+00:00,377
Виставка «Лабораторія» Тараса Левківа,виставка,2021/11/09-2022/01/16,-,Я Галарея,0 грн,2021-11-15 13:00:31+00:00,382
Показ фільму «Усе для всіх: Lil Peep»,кіно,2021/11/15,-,"Планета Кіно, Мультиплекс",0 грн,2021-11-14 18:07:57+00:00,363
Виставка Wiktoria Wojciechowska. Іскри,виставка,2021/11/18-2021/12/28,-,Мистецький Центр,0 грн,2021-11-13 16:30:00+00:00,361
Виставка «Лабораторія» Тараса Левківа,виставка,2021/11/09-2022/01/16,-,"Я Галарея, вул. Шота Руставелі 8",20-50 грн,2021-11-12 16:26:19+00:00,392
Вечірка Земляни х KyivTranceMission,вечірка,2021/11/27,-,"Trace, вул. Джерельна 20",200-400 грн,2021-11-11 17:30:00+00:00,372
Виставка «Декомунізація» Дениса Метеліна,виставка,2021/11/20,17:00-,"Дзиґа, вул. Вірменська 35",0 грн,2021-11-10 16:30:01+00:00,372
Satisfaction,вечірка,2021/11/19,21:00-,secret place,150-200 грн,2021-11-09 17:30:00+00:00,362
Виставка Wiktoria Wojciechowska. Іскри / Sparks,виставка,2021/11/18-2021/12/28,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2021-11-08 16:30:00+00:00,359
Показ фільму «Усе для всіх: Lil Peep»,кіно,2021/11/15,-,"Планета Кіно, Мультиплекс",100-170 грн,2021-11-07 15:08:34+00:00,368
Алгоритм,вечірка,2021/11/13,21:30-,"Клуб151, вул. Заводська 31",200-300 грн,2021-11-06 16:45:35+00:00,347
